20130107,49800,50700,48650,50700,351362
20130108,51000,52400,50300,50400,713364
20130109,50500,51600,49600,50000,402821
20130110,49300,49500,45800,46900,1010596
20130111,47700,48200,46050,46400,367655
20130114,47000,48050,46800,47200,298244
20130115,47200,48100,44700,44900,332721
20130116,44700,45650,43750,44500,266642
20130117,44700,45400,42600,42700,305266
20130118,43100,44000,42850,43450,143183
20130121,44200,44350,42050,42500,334120
20130122,41900,42550,41100,41350,384076
20130123,41900,44600,41850,42500,705778
20130124,43150,43200,42050,42500,261480
20130125,43000,43900,42350,43200,222961
20130128,43500,43600,39850,40150,457225
20130129,40000,40050,38100,39350,533055
20130130,38850,40000,38450,38650,466842
20130131,38600,38950,36350,36600,671932
20130201,36900,37650,35550,37150,765625
20130204,39600,40000,37500,37800,1194889
20130205,38200,39250,37550,38950,683781
20130206,39550,39650,37550,37550,492459
20130207,37750,38100,35450,35700,663315
20130208,35550,36750,35050,36750,419428
20130212,37400,38050,37000,38000,484158
20130213,38500,38550,37600,38000,310463
20130214,38450,41350,38150,41350,670522
20130215,41500,43100,40700,42500,760652
20130218,42900,43000,41600,41650,367316
20130219,42000,45550,41850,44450,850353
20130220,44800,46000,44800,45000,507054
20130221,45350,45950,44250,45500,286897
20130222,45800,47700,45750,47100,471556
20130225,47500,47700,46200,46550,270749
20130226,46600,48350,46600,47950,409934
20130227,48300,49900,48200,49250,457305
20130228,50200,50500,48700,49650,362928
20130304,49650,49900,48350,48600,352608
20130305,49300,53500,49300,53500,671227
20130306,53800,54100,51900,53200,453735
20130307,52500,53200,51100,52000,299258
20130308,52000,52500,50600,51300,325298
20130311,51300,51900,48900,50900,402640
20130312,51600,53200,51000,52900,434642
20130313,53500,53600,51800,52000,287042
20130314,52500,52500,50000,52500,418235
20130315,52900,53100,50800,52500,253176
20130318,52100,53200,50100,50100,307604
20130319,50500,51400,50100,50300,216788
20130320,50400,51100,49100,50000,225275
20130321,51000,52700,50700,51800,329308
20130322,51800,52600,51200,52200,233985
20130325,53000,53600,51600,51800,223288
20130326,52300,52500,50300,51000,243880
20130327,51700,52700,51200,51200,312715
20130328,51300,52000,50700,51200,150940
20130329,51800,52000,50800,51600,114697
20130401,52100,52800,51600,52000,195637
20130402,52800,56500,52500,55600,1105572
20130403,55600,57000,54800,56800,662627
20130404,56100,58200,55300,57300,633417
20130405,57800,58300,53300,53800,635107
20130408,53700,54200,47850,48300,844548
20130409,47900,50300,46800,49650,839582
20130410,50400,50600,49250,49550,278906
20130411,50300,52400,50200,52400,374615
20130412,53000,56800,53000,54800,673424
20130415,55300,56200,54800,55300,273669
20130416,54800,57000,54600,57000,407836
20130417,57800,59800,56500,58800,540747
20130418,58800,59600,56500,56500,387227
20130419,56500,57800,54000,55900,348221
20130422,56600,57200,55700,56500,195602
20130423,56100,56700,54400,54700,325800
20130424,55800,57000,54800,57000,362000
