0,20200713090000,303000,303500,303500,302500,41739
1,20200713090100,302500,303000,303000,302000,20209
2,20200713090200,299500,302500,302500,299500,28849
3,20200713090300,300000,300000,300500,299500,17202
4,20200713090400,298000,300000,300000,297500,22158
5,20200713090500,295000,297500,298000,294500,15836
6,20200713090600,296000,294500,296500,294500,31306
7,20200713090700,296500,296000,296500,295500,8793
8,20200713090800,295500,296500,296500,295000,17872
9,20200713090900,296000,295500,296500,295000,12299
10,20200713091000,295500,295500,296500,295000,10944
11,20200713091100,294000,295500,295500,293500,19382
12,20200713091200,292500,294000,294500,292000,12026
13,20200713091300,292000,292000,293000,291500,11718
14,20200713091400,288500,292000,292000,288000,34408
15,20200713091500,290500,288500,291500,288000,18574
16,20200713091600,291000,290500,291500,290000,11304
17,20200713091700,292000,291000,292000,291000,7408
18,20200713091800,292000,292000,292500,291500,9368
19,20200713091900,292500,292500,293000,292000,9781
20,20200713092000,292500,293000,293000,292000,6099
21,20200713092100,293000,292500,293500,292500,5422
22,20200713092200,293000,293000,294000,292500,11561
23,20200713092300,293500,293000,293500,292500,12256
24,20200713092400,293500,293500,293500,293000,3760
25,20200713092500,293500,293000,293500,293000,3550
26,20200713092600,294500,293500,294500,293000,7847
27,20200713092700,295500,294500,295500,294000,8837
28,20200713092800,294000,295500,295500,294000,14263
29,20200713092900,294500,294500,295000,294000,3141
30,20200713093000,295000,295000,295500,294500,7335
31,20200713093100,295000,295000,295500,294500,2956
32,20200713093200,295000,295500,295500,294500,6507
33,20200713093300,294500,294500,294500,294000,4545
34,20200713093400,294500,294000,294500,294000,2491
35,20200713093500,294500,294500,295000,294000,3268
36,20200713093600,294500,294000,294500,294000,2057
37,20200713093700,294500,294500,294500,294000,1870
38,20200713093800,294500,294500,294500,294000,2161
39,20200713093900,295500,294500,295500,294000,8934
40,20200713094000,295000,295500,295500,295000,1286
41,20200713094100,296000,295500,296000,295000,4961
42,20200713094200,296500,296000,296500,295500,6043
43,20200713094300,296500,296500,296500,296000,8698
44,20200713094400,296000,296500,296500,295500,9053
45,20200713094500,296500,296000,296500,296000,1831
46,20200713094600,296000,296500,296500,295500,4959
47,20200713094700,296500,295500,296500,295500,2245
48,20200713094800,296500,296000,296500,296000,1146
49,20200713094900,296000,296000,296500,296000,1022
50,20200713095000,296000,296500,296500,296000,1719
51,20200713095100,295500,296500,296500,295500,5633
52,20200713095200,295500,296000,296000,295500,906
53,20200713095300,296000,296000,296000,295500,2362
54,20200713095400,296000,295500,296000,295500,1413
55,20200713095500,294500,296000,296000,294000,12565
56,20200713095600,295000,294500,295500,294000,5626
57,20200713095700,295500,295500,295500,295000,1440
58,20200713095800,295000,295000,295500,294500,2238
59,20200713095900,295000,295000,295000,294500,1722
60,20200713100000,295000,294500,295000,294500,1137
61,20200713100100,295000,295000,295000,294500,879
62,20200713100200,294500,295000,295000,294500,1628
63,20200713100300,294500,295000,295000,294000,3154
64,20200713100400,293500,294000,294500,293500,7466
65,20200713100500,294000,293500,294000,293500,942
66,20200713100600,294500,294000,294500,294000,3532
67,20200713100700,295500,294000,295500,294000,2936
68,20200713100800,294500,295000,295500,294500,1037
69,20200713100900,294000,294500,295000,294000,4279
70,20200713101000,294500,294500,295000,294000,2727
71,20200713101100,294500,294500,295000,294500,1944
72,20200713101200,294500,294500,295000,294000,1528
73,20200713101300,294500,294500,294500,294000,704
74,20200713101400,294000,294500,294500,293500,6637
75,20200713101500,293500,294500,294500,293500,3914
76,20200713101600,293000,294000,294000,293000,6905
77,20200713101700,294000,293500,294000,292500,16256
78,20200713101800,293500,294000,294500,293500,5018
79,20200713101900,294000,293000,294000,293000,1000
80,20200713102000,293500,293500,294000,293500,488
81,20200713102100,294000,293500,294000,293500,513
82,20200713102200,293500,294000,294000,293500,2559
83,20200713102300,293000,294000,294000,293000,2959
84,20200713102400,293000,293500,293500,293000,711
85,20200713102500,293000,293500,293500,293000,9435
86,20200713102600,293000,293000,293500,292500,3689
87,20200713102700,293500,293000,293500,293000,1168
88,20200713102800,293000,293500,293500,293000,1624
89,20200713102900,293500,293000,293500,293000,2842
90,20200713103000,294500,293500,295000,293000,9735
91,20200713103100,294500,294500,294500,294000,766
92,20200713103200,294500,294500,294500,294000,615
93,20200713103300,295000,294500,295000,294000,1053
94,20200713103400,295000,294500,295000,294500,651
95,20200713103500,294500,295000,295000,294500,442
96,20200713103600,294500,294500,295000,294500,1025
97,20200713103700,295000,295000,295000,294500,712
98,20200713103800,294500,294500,295000,294500,1311
99,20200713103900,294500,295000,295000,294500,890
100,20200713104000,294000,295000,295000,294000,6266
101,20200713104100,294500,294000,295000,294000,3924
102,20200713104200,294000,294500,295000,294000,4445
103,20200713104300,294000,294000,294500,294000,469
104,20200713104400,294000,294500,294500,294000,567
105,20200713104500,294500,294500,294500,294000,935
106,20200713104600,293500,294000,294500,293500,5712
107,20200713104700,294500,293500,294500,293500,4322
108,20200713104800,294500,294500,295000,294000,3402
109,20200713104900,294500,295000,295000,294500,626
110,20200713105000,295000,295000,295000,294500,527
111,20200713105100,295000,294500,295000,294500,4531
112,20200713105200,295000,295000,295500,294500,1555
113,20200713105300,295000,295000,295500,295000,668
114,20200713105400,295500,295000,295500,295000,423
115,20200713105500,295500,295500,295500,295000,3578
116,20200713105600,295500,295500,295500,295000,473
117,20200713105700,295000,295500,295500,295000,649
118,20200713105800,295500,295000,295500,295000,2196
119,20200713105900,294500,295500,295500,294500,8423
120,20200713110000,295000,294500,295000,294500,783
121,20200713110100,294000,295000,295000,294000,3013
